district,province,illit_m,read_m,write_m,illit_f,read_f,write_f
Cogolludo,Guadalajara,5173,362,4188,7265,756,701
Colmenar,Málaga,13747,469,1747,13339,338,378
Colmenar Viejo,Madrid,8665,361,6117,9201,546,1678
Corcubión,Coruña,8990,565,4045,17220,369,836
Coria,Cáceres,5510,439,3812,7835,1004,838
Coruña,Coruña,20300,1116,10171,28730,1210,4208
Coín,Málaga,11208,211,994,11998,319,523
Cuenca,Cuenca,10660,874,7138,15438,1414,1739
Cuéllar,Segovia,7519,849,6513,11578,1504,1032
Cáceres,Cáceres,10387,557,5421,13507,885,1373
Cádiz,Cádiz,15228,1239,20679,18606,1883,13886
Córdoba,Córdoba,14767,962,6692,16472,1436,4456
Daimiel,Ciudad Real,8083,167,2216,9863,195,658
Daroca,Zaragoza,11738,430,4251,15290,197,700
Dolores,Alicante,12814,433,1903,14280,561,573
Don Benito,Badajoz,10105,510,2249,11160,682,745
Durango,Vizcaya,10718,1289,5337,13454,1354,1951
Dénia,Alicante,15715,556,2192,16853,761,754
Ejea de los Caballeros,Zaragoza,8597,190,2484,9966,79,605
Elche,Alicante,12398,219,2023,14124,276,870
Enguera,Valencia,10246,346,1688,11399,386,598
Entrambas-Aguas,Santander,4552,799,7789,11408,1245,1907
Escalona,Toledo,6436,301,3222,7795,503,826
Estella,Navarra,14814,2475,14437,20935,5819,5346
Estepa,Sevilla,10975,670,2362,12229,838,888
Estepona,Málaga,6168,125,1144,7143,337,775
Falset,Tarragona,14594,871,4895,18808,664,1316
Ferrol,Coruña,16455,1084,7943,25187,1046,3362
Figueres,Girona,19233,698,12798,29339,431,2977
Fonsagrada,Lugo,9645,125,6877,18107,27,140
Fraga,Huesca,10714,372,2679,12611,213,430
Frechilla,Palencia,5206,885,7489,9693,1995,2204
Frenegal de la Sierra,Badajoz,10246,547,2885,11298,729,1175
Fuente Ovejuna,Córdoba,6829,440,1581,7209,387,573
Fuente de Cantos,Badajoz,10814,633,2931,11305,829,1063
Fuentesaúco,Zamora,5150,1065,4633,8584,1011,960
Gandesa,Tarragona,12764,516,3195,15761,305,581
Gandia,Valencia,15403,358,2185,17293,502,564
